                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.85445,                 1.3186,                0.26432,                0.75177,                 1.2627,                0.91925,                   0.92,                0.92806,                0.38688,                0.79935,                    0.8,                0.67799,                 0.6752,                  1.469,                 2.1027,                0.06436,                 1.8603,                 2.2792,               0.001604,               0.001604,               0.001604
                     22,                0.85498,                 1.4513,                0.25872,                0.76214,                 1.2516,                0.94058,                0.94971,                0.93256,                0.42307,                0.79928,                    0.8,                0.66922,                0.66529,                 1.1068,                 2.1401,                0.06886,                 1.9449,                 1.9215,              0.0015842,              0.0015842,              0.0015842
                     23,                0.84693,                 1.3774,                0.26813,                0.76253,                 1.2604,                0.74238,                0.74926,                0.77577,                0.34525,                0.79931,                    0.8,                0.68585,                 0.6837,                  1.376,                 2.1422,                0.08008,                 2.2646,                 2.1739,              0.0015644,              0.0015644,              0.0015644
                     24,                0.84232,                 1.3906,                0.26495,                0.72711,                 1.2488,                0.92843,                   0.93,                0.91119,                0.39533,                0.79859,                    0.8,                0.67136,                0.66617,                0.99941,                 2.3735,                 0.1018,                 2.0828,                 1.7826,              0.0015446,              0.0015446,              0.0015446
                     25,                0.83213,                 1.3824,                0.27438,                0.75388,                 1.2267,                0.93888,                   0.94,                0.93784,                  0.441,                0.79901,                    0.8,                0.66482,                0.66064,                0.90187,                 2.0888,                0.05791,                 1.7275,                 1.6904,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.8407,                 1.3718,                0.25224,                0.75006,                 1.2501,                0.92873,                   0.93,                0.91923,                0.46019,                0.79888,                    0.8,                0.69228,                0.68946,                0.91035,                   2.12,                0.08854,                   1.74,                 1.6925,               0.001505,               0.001505,               0.001505
                     27,                0.84313,                 1.3758,                 0.2691,                0.70972,                 1.2544,                0.92756,                   0.93,                0.91658,                0.45948,                 0.7979,                    0.8,                0.66093,                0.65531,                0.83467,                 2.2078,                0.07505,                 1.7468,                 1.6243,              0.0014852,              0.0014852,              0.0014852
                     28,                0.82926,                 1.3835,                0.26727,                0.71292,                 1.2258,                0.93883,                   0.94,                 0.9176,                 0.4431,                0.79882,                    0.8,                 0.6579,                0.65488,                 1.0664,                 2.0936,                0.04272,                 1.9764,                 1.9909,              0.0014654,              0.0014654,              0.0014654
                     29,                0.84358,                 1.3461,                0.25761,                0.72377,                 1.2396,                0.91015,                   0.92,                0.89822,                0.42399,                 0.7892,                    0.8,                0.68392,                0.67909,                0.92327,                 2.0984,                0.09244,                 1.9831,                 1.7429,              0.0014456,              0.0014456,              0.0014456
                     30,                0.81964,                 1.2784,                0.25959,                0.71989,                 1.2255,                 0.8985,                   0.89,                 0.8819,                0.44901,                0.78721,                   0.78,                0.67332,                0.66922,                0.81588,                 2.1563,                0.06912,                 1.7669,                 1.5632,              0.0014258,              0.0014258,              0.0014258
                     31,                0.80767,                  1.289,                0.24653,                0.73121,                 1.2296,                0.91337,                   0.92,                0.90171,                0.42657,                0.78417,                   0.79,                0.67103,                 0.6658,                 1.0938,                 2.1254,                 0.0458,                 1.8671,                 1.9334,               0.001406,               0.001406,               0.001406
                     32,                0.81358,                  1.452,                0.27061,                0.68112,                 1.2231,                 0.8491,                0.90031,                0.88778,                0.44326,                0.73308,                   0.77,                0.66348,                0.65894,                0.87373,                 2.1058,                0.09066,                 1.6623,                 1.5553,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.7976,                 1.2158,                0.23823,                0.69251,                  1.211,                0.92896,                   0.93,                0.90922,                0.44416,                0.79873,                    0.8,                0.66113,                0.65707,                 1.1857,                 2.1208,                 0.0462,                 2.2419,                 2.1084,              0.0013664,              0.0013664,              0.0013664
                     34,                0.78731,                 1.2748,                0.24084,                0.71437,                 1.2053,                0.87973,                   0.91,                0.88351,                0.42695,                0.77771,                    0.8,                0.68443,                0.68011,                0.90381,                 2.1964,                 0.0488,                 1.8284,                 1.7061,              0.0013466,              0.0013466,              0.0013466
                     35,                0.76884,                  1.285,                0.26401,                0.63856,                 1.1925,                0.89614,                    0.9,                0.88156,                0.43091,                0.79584,                    0.8,                0.68197,                0.67719,                 1.5665,                 2.0988,                0.03866,                 2.1918,                 2.5114,              0.0013268,              0.0013268,              0.0013268
                     36,                0.78572,                 1.2686,                0.25398,                0.65714,                 1.2034,                 0.8275,                   0.83,                0.79158,                0.42999,                0.79711,                    0.8,                0.67401,                0.67125,                0.96723,                 2.0905,                0.06383,                 2.4819,                  1.823,               0.001307,               0.001307,               0.001307
                     37,                0.78939,                 1.1628,                0.26291,                0.71948,                 1.2121,                0.88153,                0.89297,                0.86531,                0.41784,                0.78103,                    0.8,                0.66733,                0.66471,                0.96202,                 2.1268,                0.05156,                 1.9275,                  1.894,              0.0012872,              0.0012872,              0.0012872
                     38,                0.78457,                 1.3805,                0.24536,                0.68072,                 1.2022,                0.84693,                    0.9,                0.85267,                0.43826,                0.75323,                    0.8,                0.65661,                0.65348,                0.80189,                 2.0851,                0.04086,                 1.7288,                 1.5852,              0.0012674,              0.0012674,              0.0012674
