                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.86423,                 1.3454,                0.27787,                0.63328,                 1.4428,                0.90005,                   0.93,                0.91337,                0.33877,                0.76455,                   0.79,                0.67285,                0.66706,                 1.3979,                 1.9071,                 0.1024,                 1.6967,                 2.5904,               0.001604,               0.001604,               0.001604
                     22,                0.85773,                  1.297,                0.28777,                 0.6677,                 1.4296,                0.84346,                   0.88,                0.83624,                0.34797,                 0.7572,                   0.79,                0.65567,                0.64985,                 1.3178,                  1.883,                0.09781,                 1.7211,                 2.3634,              0.0015842,              0.0015842,              0.0015842
                     23,                0.85803,                 1.3215,                0.27787,                0.66418,                 1.4315,                0.80629,                   0.82,                0.76912,                0.32611,                0.78968,                    0.8,                0.67813,                0.67389,                 1.8693,                 1.8652,                0.08744,                 1.9443,                 3.1102,              0.0015644,              0.0015644,              0.0015644
                     24,                0.84872,                 1.2805,                0.27293,                0.64496,                 1.4308,                0.91997,                0.91969,                0.88651,                0.33617,                 0.7997,                    0.8,                0.67838,                0.67372,                 2.3311,                 1.8248,                 0.0637,                 1.4491,                 3.5633,              0.0015446,              0.0015446,              0.0015446
                     25,                0.83521,                 1.3965,                0.28338,                0.65915,                 1.4112,                0.93991,                0.93856,                0.91851,                0.36912,                0.79979,                0.79897,                0.65507,                0.65177,                 1.5301,                 1.8698,                0.06241,                  2.162,                  2.786,              0.0015248,              0.0015248,              0.0015248
                     26,                0.81182,                 1.3245,                 0.2694,                0.61055,                 1.3864,                0.86862,                0.85953,                0.84867,                0.30558,                0.75874,                   0.77,                0.67539,                0.67332,                 1.9506,                 1.9236,                0.06317,                 1.7691,                 3.0857,               0.001505,               0.001505,               0.001505
                     27,                0.84492,                 1.4075,                0.28099,                0.62859,                 1.4142,                0.85578,                0.83073,                 0.7685,                0.14702,                0.79474,                0.77442,                0.66841,                0.65803,                 3.0606,                 1.8127,                0.05789,                 1.2418,                  4.793,              0.0014852,              0.0014852,              0.0014852
                     28,                0.83162,                 1.4565,                0.28747,                0.60687,                 1.4043,                 0.8137,                0.87356,                0.82297,                0.31135,                0.73948,                   0.79,                0.64749,                0.64375,                 1.6604,                 1.9263,                  0.048,                 1.8629,                 3.0736,              0.0014654,              0.0014654,              0.0014654
                     29,                  0.822,                 1.3434,                 0.2727,                0.60488,                 1.3927,                0.87037,                0.87291,                0.83737,                0.32217,                0.79064,                0.79307,                0.65317,                0.64368,                 1.6557,                 1.8654,                 0.0715,                 1.9466,                 2.8538,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.8048,                  1.338,                0.26473,                0.62518,                 1.3943,                0.85705,                0.83937,                0.82017,                0.30264,                0.79582,                0.77954,                0.64998,                0.64326,                  1.899,                 1.8872,                0.05925,                  1.897,                 3.1632,              0.0014258,              0.0014258,              0.0014258
