                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.76784,                 1.2483,                0.31803,                0.63864,                 1.1729,                0.91274,                    0.9,                0.94465,                0.45139,                0.77956,                   0.76,                0.69576,                0.68611,                 1.1374,                 2.2267,                 0.1832,                 1.0712,                 1.9671,               0.001604,               0.001604,               0.001604
                     22,                0.77549,                 1.5025,                0.33923,                0.62572,                 1.1709,                0.86078,                0.86561,                0.83137,                0.41215,                0.78147,                0.78675,                0.66175,                0.65631,                 1.1172,                 2.1716,                0.12394,                 2.3045,                 2.1279,              0.0015842,              0.0015842,              0.0015842
                     23,                0.74993,                 1.7379,                0.30132,                0.62586,                  1.154,                 0.9354,                   0.94,                0.92689,                0.37479,                 0.7959,                    0.8,                 0.6592,                0.65584,                 1.8253,                 2.1501,                0.10177,                 2.1441,                 3.0615,              0.0015644,              0.0015644,              0.0015644
                     24,                0.77138,                 1.4148,                0.31597,                 0.6323,                 1.1689,                0.79283,                   0.89,                 0.8374,                0.32341,                0.67186,                0.77804,                0.62772,                0.60011,                 1.2269,                 2.5147,                0.11665,                 1.5197,                 2.0249,              0.0015446,              0.0015446,              0.0015446
                     25,                0.77011,                 1.3675,                0.30673,                0.63565,                 1.1548,                0.90673,                   0.91,                0.88633,                0.45911,                0.79706,                    0.8,                0.68048,                0.67856,                  1.235,                 2.1813,                0.08586,                 2.4012,                 2.2587,              0.0015248,              0.0015248,              0.0015248
                     26,                0.74832,                 1.3909,                 0.3093,                0.61252,                 1.1476,                0.82382,                0.84171,                0.81371,                0.41099,                0.78196,                0.78901,                0.66105,                0.65573,                0.90527,                 2.1673,                 0.1016,                 2.1191,                 1.7134,               0.001505,               0.001505,               0.001505
                     27,                0.75698,                 1.2967,                0.29754,                0.63364,                 1.1594,                0.83214,                0.89231,                0.90752,                0.59827,                0.70257,                   0.74,                0.70656,                0.67642,                0.74283,                 2.2827,                0.11744,                0.91732,                 1.4014,              0.0014852,              0.0014852,              0.0014852
                     28,                0.74676,                 1.3334,                0.28628,                0.64745,                 1.1506,                0.94139,                    0.9,                0.92943,                0.37659,                0.75094,                   0.78,                 0.6511,                0.64652,                 1.3964,                 2.2476,                0.10841,                  2.055,                 2.0871,              0.0014654,              0.0014654,              0.0014654
                     29,                0.73009,                 1.5783,                0.29271,                0.58207,                 1.1292,                 0.8928,                 0.9161,                0.89744,                0.38842,                0.77541,                 0.7941,                0.65827,                0.65276,                 1.6646,                 2.1335,                0.09072,                 1.8174,                 2.6894,              0.0014456,              0.0014456,              0.0014456
                     30,                0.73932,                 1.2232,                0.27958,                 0.6177,                 1.1463,                0.89359,                   0.94,                 0.9446,                 0.4865,                0.73633,                0.78194,                0.66248,                0.63034,                0.78862,                 2.3986,                0.09214,                 1.4473,                 1.5141,              0.0014258,              0.0014258,              0.0014258
                     31,                0.71303,                 1.2214,                0.29969,                0.60006,                 1.1279,                0.90685,                   0.91,                0.88572,                0.45601,                0.79717,                    0.8,                0.67599,                0.67197,                0.89312,                 2.2696,                0.06424,                  2.258,                 1.7544,               0.001406,               0.001406,               0.001406
                     32,                0.71909,                 1.2881,                0.30531,                0.59772,                 1.1394,                0.88644,                0.85868,                0.84937,                0.26936,                0.80387,                0.77875,                0.65655,                0.62754,                 1.9757,                  2.364,                0.15871,                 2.2215,                 3.1326,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.7181,                 1.2418,                0.28615,                0.59497,                 1.1323,                0.90534,                   0.94,                0.91688,                0.39727,                0.74513,                    0.8,                0.67469,                0.67033,                 1.0033,                 2.1861,                 0.0746,                 1.8471,                 1.7609,              0.0013664,              0.0013664,              0.0013664
                     34,                0.71027,                 1.3353,                0.28129,                0.59095,                 1.1202,                0.91077,                   0.91,                0.89884,                0.45405,                0.79031,                0.79148,                0.69336,                0.68953,                 1.1409,                 2.2092,                0.07659,                 2.4097,                 2.2032,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.7118,                 1.2828,                0.26898,                0.58194,                 1.1273,                0.88097,                   0.91,                0.91571,                0.47748,                0.75963,                    0.8,                0.66515,                0.65944,                0.86639,                 2.2136,                0.06471,                 1.7516,                 1.7297,              0.0013268,              0.0013268,              0.0013268
                     36,                0.70134,                 1.2014,                0.27889,                0.58643,                 1.1286,                0.93037,                0.93533,                0.93386,                0.44631,                0.79043,                0.79207,                0.68234,                0.67799,                 1.4759,                 2.1374,                0.06898,                 2.0667,                 2.4375,               0.001307,               0.001307,               0.001307
                     37,                0.69123,                 1.4803,                  0.285,                 0.5793,                 1.1191,                0.82317,                0.79137,                0.88149,                0.41777,                0.67283,                0.67867,                0.57499,                0.55766,                0.95775,                 2.3378,                0.21886,                 1.2739,                 1.7523,              0.0012872,              0.0012872,              0.0012872
                     38,                0.67441,                 1.2307,                0.26284,                0.57924,                 1.1162,                 0.8909,                0.89828,                0.91717,                0.42047,                0.75669,                   0.77,                0.64529,                0.63509,                0.81094,                 2.2599,                0.06526,                 1.3403,                 1.4985,              0.0012674,              0.0012674,              0.0012674
                     39,                0.69821,                 1.1532,                0.28091,                0.56694,                 1.1125,                0.90431,                   0.88,                0.90138,                0.41369,                0.74383,                   0.78,                0.65849,                0.65381,                 1.2968,                 2.1497,                0.05834,                 2.0149,                 2.3003,              0.0012476,              0.0012476,              0.0012476
                     40,                0.68753,                 1.1922,                0.26755,                0.57214,                 1.1171,                0.88694,                   0.91,                  0.884,                0.48739,                0.78639,                    0.8,                0.67616,                0.66862,                0.68892,                 2.2366,                0.07199,                 2.1544,                 1.4755,              0.0012278,              0.0012278,              0.0012278
                     41,                0.69169,                 1.3041,                0.26701,                0.56057,                 1.1108,                 0.8887,                   0.91,                0.89358,                0.40655,                  0.769,                   0.79,                 0.6718,                0.66726,                 1.5367,                 2.1681,                0.05297,                 1.8501,                 2.7099,               0.001208,               0.001208,               0.001208
                     42,                0.66736,                 1.2825,                0.27979,                0.53817,                 1.1047,                0.83882,                   0.91,                0.87615,                0.54348,                0.75543,                   0.78,                0.70286,                0.69779,                 0.7295,                   2.14,                0.05096,                 1.3078,                 1.5149,              0.0011882,              0.0011882,              0.0011882
                     43,                0.68843,                 1.3181,                0.28046,                0.56318,                  1.116,                0.81662,                   0.85,                0.80478,                0.45383,                0.76966,                   0.79,                0.67084,                0.66912,                0.84793,                 2.1301,                0.05939,                 1.7358,                 1.6747,              0.0011684,              0.0011684,              0.0011684
                     44,                0.68547,                 1.2472,                0.25612,                0.54565,                 1.1089,                0.88927,                0.88341,                0.89112,                0.31487,                0.78871,                0.78392,                0.68703,                 0.6852,                 1.9884,                 2.1182,                0.07456,                 1.4133,                 3.2803,              0.0011486,              0.0011486,              0.0011486
                     45,                0.67048,                 1.0279,                0.24671,                 0.5312,                 1.0972,                0.83119,                0.88634,                0.82955,                0.48421,                0.78431,                   0.76,                0.68356,                 0.6803,                0.76251,                 2.2335,                0.07664,                 1.8995,                 1.5724,              0.0011288,              0.0011288,              0.0011288
                     46,                0.66419,                 1.1995,                0.26259,                0.52204,                 1.1047,                0.91262,                   0.95,                0.93828,                0.52572,                0.76839,                    0.8,                0.68542,                0.68397,                0.94113,                 2.1303,                0.05895,                 1.4888,                 1.7721,               0.001109,               0.001109,               0.001109
                     47,                0.66676,                 1.3842,                 0.2467,                0.53469,                 1.0998,                0.93387,                   0.92,                 0.9154,                  0.404,                 0.7792,                   0.78,                0.66537,                0.66342,                 1.4379,                 2.1259,                0.05505,                 1.8982,                 2.5492,              0.0010892,              0.0010892,              0.0010892
